dataset,tool,precision,recall
stingseq,alphagenome,0.2514395393474088,1.0
stingseq,alphagenome,0.25,0.9923664122137404
stingseq,alphagenome,0.2504816955684008,0.9923664122137404
stingseq,alphagenome,0.25096525096525096,0.9923664122137404
stingseq,alphagenome,0.2514506769825919,0.9923664122137404
stingseq,alphagenome,0.25,0.9847328244274809
stingseq,alphagenome,0.2504854368932039,0.9847328244274809
stingseq,alphagenome,0.2509727626459144,0.9847328244274809
stingseq,alphagenome,0.24951267056530213,0.9770992366412213
stingseq,alphagenome,0.25,0.9770992366412213
stingseq,alphagenome,0.25048923679060664,0.9770992366412213
stingseq,alphagenome,0.25098039215686274,0.9770992366412213
stingseq,alphagenome,0.25147347740667975,0.9770992366412213
stingseq,alphagenome,0.25196850393700787,0.9770992366412213
stingseq,alphagenome,0.252465483234714,0.9770992366412213
stingseq,alphagenome,0.25296442687747034,0.9770992366412213
stingseq,alphagenome,0.25346534653465347,0.9770992366412213
stingseq,alphagenome,0.25396825396825395,0.9770992366412213
stingseq,alphagenome,0.2544731610337972,0.9770992366412213
stingseq,alphagenome,0.2549800796812749,0.9770992366412213
stingseq,alphagenome,0.2554890219560878,0.9770992366412213
stingseq,alphagenome,0.254,0.9694656488549618
stingseq,alphagenome,0.25250501002004005,0.9618320610687023
stingseq,alphagenome,0.25301204819277107,0.9618320610687023
stingseq,alphagenome,0.2535211267605634,0.9618320610687023
stingseq,alphagenome,0.2540322580645161,0.9618320610687023
stingseq,alphagenome,0.2545454545454545,0.9618320610687023
stingseq,alphagenome,0.2550607287449393,0.9618320610687023
stingseq,alphagenome,0.25557809330628806,0.9618320610687023
stingseq,alphagenome,0.25609756097560976,0.9618320610687023
stingseq,alphagenome,0.25661914460285135,0.9618320610687023
stingseq,alphagenome,0.25510204081632654,0.9541984732824428
stingseq,alphagenome,0.2556237218813906,0.9541984732824428
stingseq,alphagenome,0.25614754098360654,0.9541984732824428
stingseq,alphagenome,0.2546201232032854,0.9465648854961832
stingseq,alphagenome,0.2551440329218107,0.9465648854961832
stingseq,alphagenome,0.2536082474226804,0.9389312977099237
stingseq,alphagenome,0.25413223140495866,0.9389312977099237
stingseq,alphagenome,0.2546583850931677,0.9389312977099237
stingseq,alphagenome,0.2551867219917012,0.9389312977099237
stingseq,alphagenome,0.25571725571725573,0.9389312977099237
stingseq,alphagenome,0.25625,0.9389312977099237
stingseq,alphagenome,0.2567849686847599,0.9389312977099237
stingseq,alphagenome,0.25732217573221755,0.9389312977099237
stingseq,alphagenome,0.2578616352201258,0.9389312977099237
stingseq,alphagenome,0.25630252100840334,0.9312977099236641
stingseq,alphagenome,0.25684210526315787,0.9312977099236641
stingseq,alphagenome,0.25738396624472576,0.9312977099236641
stingseq,alphagenome,0.25792811839323465,0.9312977099236641
stingseq,alphagenome,0.2584745762711864,0.9312977099236641
stingseq,alphagenome,0.25690021231422505,0.9236641221374046
stingseq,alphagenome,0.2574468085106383,0.9236641221374046
stingseq,alphagenome,0.2579957356076759,0.9236641221374046
stingseq,alphagenome,0.25854700854700857,0.9236641221374046
stingseq,alphagenome,0.25910064239828695,0.9236641221374046
stingseq,alphagenome,0.259656652360515,0.9236641221374046
stingseq,alphagenome,0.26021505376344084,0.9236641221374046
stingseq,alphagenome,0.2607758620689655,0.9236641221374046
stingseq,alphagenome,0.2613390928725702,0.9236641221374046
stingseq,alphagenome,0.2597402597402597,0.916030534351145
stingseq,alphagenome,0.2603036876355748,0.916030534351145
stingseq,alphagenome,0.2608695652173913,0.916030534351145
stingseq,alphagenome,0.26143790849673204,0.916030534351145
stingseq,alphagenome,0.26200873362445415,0.916030534351145
stingseq,alphagenome,0.26258205689277897,0.916030534351145
stingseq,alphagenome,0.2631578947368421,0.916030534351145
stingseq,alphagenome,0.26373626373626374,0.916030534351145
stingseq,alphagenome,0.2643171806167401,0.916030534351145
stingseq,alphagenome,0.26490066225165565,0.916030534351145
stingseq,alphagenome,0.26548672566371684,0.916030534351145
stingseq,alphagenome,0.2660753880266075,0.916030534351145
stingseq,alphagenome,0.26666666666666666,0.916030534351145
stingseq,alphagenome,0.267260579064588,0.916030534351145
stingseq,alphagenome,0.26785714285714285,0.916030534351145
stingseq,alphagenome,0.2684563758389262,0.916030534351145
stingseq,alphagenome,0.26681614349775784,0.9083969465648855
stingseq,alphagenome,0.26741573033707866,0.9083969465648855
stingseq,alphagenome,0.268018018018018,0.9083969465648855
stingseq,alphagenome,0.2686230248306998,0.9083969465648855
stingseq,alphagenome,0.2692307692307692,0.9083969465648855
stingseq,alphagenome,0.2675736961451247,0.9007633587786259
stingseq,alphagenome,0.2681818181818182,0.9007633587786259
stingseq,alphagenome,0.26879271070615035,0.9007633587786259
stingseq,alphagenome,0.2694063926940639,0.9007633587786259
stingseq,alphagenome,0.2700228832951945,0.9007633587786259
stingseq,alphagenome,0.2706422018348624,0.9007633587786259
stingseq,alphagenome,0.271264367816092,0.9007633587786259
stingseq,alphagenome,0.2695852534562212,0.8931297709923665
stingseq,alphagenome,0.2702078521939954,0.8931297709923665
stingseq,alphagenome,0.2708333333333333,0.8931297709923665
stingseq,alphagenome,0.271461716937355,0.8931297709923665
stingseq,alphagenome,0.27209302325581397,0.8931297709923665
stingseq,alphagenome,0.2727272727272727,0.8931297709923665
stingseq,alphagenome,0.2733644859813084,0.8931297709923665
stingseq,alphagenome,0.2716627634660422,0.8854961832061069
stingseq,alphagenome,0.27230046948356806,0.8854961832061069
stingseq,alphagenome,0.27294117647058824,0.8854961832061069
stingseq,alphagenome,0.27358490566037735,0.8854961832061069
stingseq,alphagenome,0.27423167848699764,0.8854961832061069
stingseq,alphagenome,0.27488151658767773,0.8854961832061069
stingseq,alphagenome,0.2755344418052256,0.8854961832061069
stingseq,alphagenome,0.27380952380952384,0.8778625954198473
stingseq,alphagenome,0.2744630071599045,0.8778625954198473
stingseq,alphagenome,0.2751196172248804,0.8778625954198473
stingseq,alphagenome,0.27577937649880097,0.8778625954198473
stingseq,alphagenome,0.2764423076923077,0.8778625954198473
stingseq,alphagenome,0.27710843373493976,0.8778625954198473
stingseq,alphagenome,0.2753623188405797,0.8702290076335878
stingseq,alphagenome,0.27602905569007263,0.8702290076335878
stingseq,alphagenome,0.27427184466019416,0.8625954198473282
stingseq,alphagenome,0.2749391727493917,0.8625954198473282
stingseq,alphagenome,0.275609756097561,0.8625954198473282
stingseq,alphagenome,0.2762836185819071,0.8625954198473282
stingseq,alphagenome,0.2769607843137255,0.8625954198473282
stingseq,alphagenome,0.27764127764127766,0.8625954198473282
stingseq,alphagenome,0.27832512315270935,0.8625954198473282
stingseq,alphagenome,0.27901234567901234,0.8625954198473282
stingseq,alphagenome,0.27970297029702973,0.8625954198473282
stingseq,alphagenome,0.2803970223325062,0.8625954198473282
stingseq,alphagenome,0.2810945273631841,0.8625954198473282
stingseq,alphagenome,0.2817955112219451,0.8625954198473282
stingseq,alphagenome,0.2825,0.8625954198473282
stingseq,alphagenome,0.2832080200501253,0.8625954198473282
stingseq,alphagenome,0.28391959798994976,0.8625954198473282
stingseq,alphagenome,0.28463476070528965,0.8625954198473282
stingseq,alphagenome,0.28535353535353536,0.8625954198473282
stingseq,alphagenome,0.28607594936708863,0.8625954198473282
stingseq,alphagenome,0.28426395939086296,0.8549618320610687
stingseq,alphagenome,0.2824427480916031,0.8473282442748091
stingseq,alphagenome,0.28316326530612246,0.8473282442748091
stingseq,alphagenome,0.2813299232736573,0.8396946564885496
stingseq,alphagenome,0.28205128205128205,0.8396946564885496
stingseq,alphagenome,0.2827763496143959,0.8396946564885496
stingseq,alphagenome,0.2809278350515464,0.8320610687022901
stingseq,alphagenome,0.28165374677002586,0.8320610687022901
stingseq,alphagenome,0.2823834196891192,0.8320610687022901
stingseq,alphagenome,0.2831168831168831,0.8320610687022901
stingseq,alphagenome,0.2838541666666667,0.8320610687022901
stingseq,alphagenome,0.2845953002610966,0.8320610687022901
stingseq,alphagenome,0.28534031413612565,0.8320610687022901
stingseq,alphagenome,0.28608923884514437,0.8320610687022901
stingseq,alphagenome,0.2868421052631579,0.8320610687022901
stingseq,alphagenome,0.287598944591029,0.8320610687022901
stingseq,alphagenome,0.28835978835978837,0.8320610687022901
stingseq,alphagenome,0.2891246684350133,0.8320610687022901
stingseq,alphagenome,0.2898936170212766,0.8320610687022901
stingseq,alphagenome,0.2906666666666667,0.8320610687022901
stingseq,alphagenome,0.2914438502673797,0.8320610687022901
stingseq,alphagenome,0.29222520107238603,0.8320610687022901
stingseq,alphagenome,0.29301075268817206,0.8320610687022901
stingseq,alphagenome,0.29380053908355797,0.8320610687022901
stingseq,alphagenome,0.2918918918918919,0.8244274809160306
stingseq,alphagenome,0.2926829268292683,0.8244274809160306
stingseq,alphagenome,0.2907608695652174,0.816793893129771
stingseq,alphagenome,0.29155313351498635,0.816793893129771
stingseq,alphagenome,0.2923497267759563,0.816793893129771
stingseq,alphagenome,0.29315068493150687,0.816793893129771
stingseq,alphagenome,0.29395604395604397,0.816793893129771
stingseq,alphagenome,0.29476584022038566,0.816793893129771
stingseq,alphagenome,0.292817679558011,0.8091603053435115
stingseq,alphagenome,0.29085872576177285,0.8015267175572519
stingseq,alphagenome,0.2916666666666667,0.8015267175572519
stingseq,alphagenome,0.28969359331476324,0.7938931297709924
stingseq,alphagenome,0.2905027932960894,0.7938931297709924
stingseq,alphagenome,0.2913165266106443,0.7938931297709924
stingseq,alphagenome,0.29213483146067415,0.7938931297709924
stingseq,alphagenome,0.29295774647887324,0.7938931297709924
stingseq,alphagenome,0.2937853107344633,0.7938931297709924
stingseq,alphagenome,0.29461756373937675,0.7938931297709924
stingseq,alphagenome,0.29545454545454547,0.7938931297709924
stingseq,alphagenome,0.2962962962962963,0.7938931297709924
stingseq,alphagenome,0.29714285714285715,0.7938931297709924
stingseq,alphagenome,0.2979942693409742,0.7938931297709924
stingseq,alphagenome,0.2988505747126437,0.7938931297709924
stingseq,alphagenome,0.29971181556195964,0.7938931297709924
stingseq,alphagenome,0.30057803468208094,0.7938931297709924
stingseq,alphagenome,0.2985507246376812,0.7862595419847328
stingseq,alphagenome,0.29941860465116277,0.7862595419847328
stingseq,alphagenome,0.30029154518950435,0.7862595419847328
stingseq,alphagenome,0.30116959064327486,0.7862595419847328
stingseq,alphagenome,0.2991202346041056,0.7786259541984732
stingseq,alphagenome,0.3,0.7786259541984732
stingseq,alphagenome,0.3008849557522124,0.7786259541984732
stingseq,alphagenome,0.30177514792899407,0.7786259541984732
stingseq,alphagenome,0.2997032640949555,0.7709923664122137
stingseq,alphagenome,0.3005952380952381,0.7709923664122137
stingseq,alphagenome,0.30149253731343284,0.7709923664122137
stingseq,alphagenome,0.3023952095808383,0.7709923664122137
stingseq,alphagenome,0.3033033033033033,0.7709923664122137
stingseq,alphagenome,0.3042168674698795,0.7709923664122137
stingseq,alphagenome,0.30513595166163143,0.7709923664122137
stingseq,alphagenome,0.30606060606060603,0.7709923664122137
stingseq,alphagenome,0.3069908814589666,0.7709923664122137
stingseq,alphagenome,0.3079268292682927,0.7709923664122137
stingseq,alphagenome,0.308868501529052,0.7709923664122137
stingseq,alphagenome,0.3098159509202454,0.7709923664122137
stingseq,alphagenome,0.31076923076923074,0.7709923664122137
stingseq,alphagenome,0.3117283950617284,0.7709923664122137
stingseq,alphagenome,0.3126934984520124,0.7709923664122137
stingseq,alphagenome,0.3136645962732919,0.7709923664122137
stingseq,alphagenome,0.3146417445482866,0.7709923664122137
stingseq,alphagenome,0.315625,0.7709923664122137
stingseq,alphagenome,0.31347962382445144,0.7633587786259542
stingseq,alphagenome,0.31446540880503143,0.7633587786259542
stingseq,alphagenome,0.31230283911671924,0.7557251908396947
stingseq,alphagenome,0.31329113924050633,0.7557251908396947
stingseq,alphagenome,0.3111111111111111,0.7480916030534351
stingseq,alphagenome,0.3089171974522293,0.7404580152671756
stingseq,alphagenome,0.30990415335463256,0.7404580152671756
stingseq,alphagenome,0.3076923076923077,0.732824427480916
stingseq,alphagenome,0.3086816720257235,0.732824427480916
stingseq,alphagenome,0.3064516129032258,0.7251908396946565
stingseq,alphagenome,0.3074433656957929,0.7251908396946565
stingseq,alphagenome,0.30844155844155846,0.7251908396946565
stingseq,alphagenome,0.30944625407166126,0.7251908396946565
stingseq,alphagenome,0.3104575163398693,0.7251908396946565
stingseq,alphagenome,0.3081967213114754,0.7175572519083969
stingseq,alphagenome,0.3059210526315789,0.7099236641221374
stingseq,alphagenome,0.30363036303630364,0.7022900763358778
stingseq,alphagenome,0.304635761589404,0.7022900763358778
stingseq,alphagenome,0.3023255813953488,0.6946564885496184
stingseq,alphagenome,0.3,0.6870229007633588
stingseq,alphagenome,0.3010033444816054,0.6870229007633588
stingseq,alphagenome,0.30201342281879195,0.6870229007633588
stingseq,alphagenome,0.2996632996632997,0.6793893129770993
stingseq,alphagenome,0.30067567567567566,0.6793893129770993
stingseq,alphagenome,0.3016949152542373,0.6793893129770993
stingseq,alphagenome,0.30272108843537415,0.6793893129770993
stingseq,alphagenome,0.3037542662116041,0.6793893129770993
stingseq,alphagenome,0.3047945205479452,0.6793893129770993
